X,Y
1948.239,432.69833
612.7606,1059.3066
2052.1985,835.4466
1559.3909,506.6521
1970.2303,1045.3154
1263.5065,497.6577
1230.5193,971.36163
1255.5095,735.5091
1973.2292,672.5484
1300.492,514.6471
1242.5146,682.5422
1285.4978,707.52655
1270.5037,954.37225
1982.2257,1030.3248
1821.2886,1049.313
2041.2026,671.549
1299.4924,734.5097
1232.5186,793.47284
2021.2104,479.66895
1288.4967,774.4847
1351.472,441.6927
1313.4869,839.4441
1306.4896,997.34546
1938.2429,562.6171
1137.5557,981.35547
1248.5123,854.43475
1245.5134,811.4616
1240.5154,734.5097
1257.5088,845.44037
1275.5017,712.52344
1333.4791,1004.34106
2050.1992,1103.2792
1846.2788,456.68332
1240.5154,738.5072
500.80438,1033.3229
1964.2327,402.71707
1974.2289,455.68396
1231.5189,420.7058
1264.5061,667.5515
2016.2124,588.6009
1256.5092,998.34485
602.7645,699.53156
1949.2385,458.68207
1324.4827,339.7564
1268.5045,743.5041
1721.3276,347.7514
1318.485,408.71332
510.80048,322.76703
1298.4928,604.5909
1267.5049,734.5097
1249.512,589.6003
1602.374,1062.3048
416.8372,998.34485
1322.4834,824.4535
2085.1855,330.76202
1272.5029,737.5078
1662.3507,376.7333
1273.5026,730.5122
1269.5042,733.5103
1273.5026,700.53094
1390.4569,923.39166
2106.1772,343.7539
1328.4811,760.49347
1910.2538,951.37415
1254.51,614.58466
585.7712,822.4547
1292.4951,763.4916
1275.5017,694.53467
1990.2225,652.5609
1129.5587,652.5609
456.82156,1146.2523
1318.485,801.46783
1010.6052,1077.2954
1323.483,434.69708
2059.1956,358.74454
1242.5146,729.5128
1120.5623,1009.3379
1222.5225,818.4572
1873.2683,364.74078
1975.2284,704.52844
2077.1887,322.76703
1255.5095,372.7358
1321.4838,930.38727
765.7009,427.70145
452.82312,344.7533
1831.2847,368.73828
1302.4912,738.5072
1284.4983,809.4628
2102.179,371.73642
1470.4257,1062.3048
1231.5189,735.5091
1286.4974,754.4972
2003.2175,445.6902
2046.2007,1054.3098
631.75323,1122.2673
1751.3159,417.7077
1223.5221,732.5109
1255.5095,726.5147
1253.5104,785.47784
1968.2312,437.6952
2061.1948,1088.2886
625.75555,413.71017
1193.5338,489.66272
1256.5092,978.3573
1213.526,585.6028
452.82312,328.76328
1985.2245,496.65833
1300.492,993.3479
1287.4971,692.53595
1252.5107,442.69208
566.7786,404.71582
2055.1973,377.73267
1279.5002,583.604
1272.5029,768.48846
939.63293,1037.3204
1258.5084,726.5147
2080.1875,359.74393
1975.2284,432.69833
2071.191,368.73828
2125.17,1150.2499
1670.3475,391.72394
2061.1948,411.71143
1456.431,1100.2811
1971.23,794.4722
1953.237,1007.33923
598.7661,913.3979
1273.5026,595.5965
1335.4783,1030.3248
1244.5139,969.3629
1284.4983,816.4585
1249.512,1035.3217
2018.2117,752.4985
2021.2104,943.37915
1275.5017,741.5053
1270.5037,768.48846
1235.5173,1051.3116
1460.4296,917.3954
1259.508,762.4922
1305.49,945.3779
1341.476,737.5078
1247.5127,814.4597
1179.5392,853.43536
2042.2023,445.6902
1260.5076,791.47406
1279.5002,749.5003
1305.49,910.3998
1241.515,675.5466
1336.4779,1073.298
1250.5115,780.48096
1283.4987,747.5016
1941.2417,727.51404
1309.4885,922.3923
2037.2042,1030.3248
1260.5076,712.52344
1281.4994,683.54156
2026.2085,636.5709
1345.4745,840.4435
1242.5146,761.4928
1298.4928,839.4441
1093.5729,1188.2261
1960.2343,463.67896
1986.2241,986.3523
1294.4944,892.411
1262.5068,971.36163
1256.5092,784.47845
1271.5033,839.4441
1241.515,416.7083
1320.4841,910.3998
1315.4861,1055.3092
1291.4955,356.7458
2004.2172,707.52655
1231.5189,447.68896
1984.225,775.4841
1265.5056,473.67273
1232.5186,688.53845
1276.5013,751.4991
1235.5173,1019.33167
1247.5127,702.52966
1292.4951,725.5153
1650.3553,1108.2761
1247.5127,742.5047
1265.5056,928.38855
1307.4893,604.5909
1285.4978,814.4597
1247.5127,795.4716
1272.5029,706.52716
1935.244,1032.3236
1370.4647,740.5059
1277.501,722.5172
1274.5022,911.3991
635.75165,926.3898
927.63763,1052.311
1318.485,719.51904
1344.4749,1060.306
564.77936,559.619
603.76416,462.67957
1272.5029,448.68832
1241.515,909.4004
1292.4951,986.3523
1422.4443,852.436
1987.2238,722.5172
1253.5104,758.4947
1250.5115,869.42535
1290.4958,994.3473
1303.4908,942.37976
1228.5201,807.4641
1470.4257,389.7252
600.7653,437.6952
534.7911,362.74203
1269.5042,673.5478
1286.4974,740.5059
1310.488,1011.3367
1309.4885,830.4497
1308.4889,505.6527
1304.4905,740.5059
1262.5068,813.4603
1264.5061,673.5478
1253.5104,677.5453
1313.4869,854.43475
1301.4916,873.42285
1282.499,900.406
1328.4811,550.62463
1267.5049,425.7027
1334.4788,955.37164
1822.2882,1163.2417
1267.5049,779.48157
1348.4733,1041.318
1106.5677,1035.3217
1218.524,989.35046
1320.4841,873.42285
1293.4948,837.4454
1253.5104,435.69644
1301.4916,524.64087
1261.5072,824.4535
1416.4467,885.4154
1924.2483,1063.3042
1356.4701,1017.3329
1240.5154,1022.32983
1245.5134,599.594
2014.2133,404.71582
1266.5052,851.4366
1334.4788,761.4928
752.706,336.75827
552.78406,498.6571
2058.196,911.3991
1282.499,747.5016
563.7798,682.5422
1248.5123,1097.283
1319.4846,771.4866
1796.2983,1087.2892
2003.2175,1037.3204
1286.4974,778.48224
1298.4928,754.4972
2000.2186,1074.2974
615.75946,710.52466
1937.2433,409.71268
1295.4939,758.4947
1291.4955,773.48535
488.80905,1110.2749
1300.492,753.4978
1269.5042,735.5091
1179.5392,734.5097
2036.2046,714.52216
1283.4987,683.54156
1336.4779,480.66833
2017.212,803.4666
1278.5006,978.3573
467.81726,452.68582
1281.4994,737.5078
1277.501,971.36163
1299.4924,779.48157
1295.4939,719.51904
1230.5193,670.5497
1274.5022,408.71332
1265.5056,772.48596
1271.5033,791.47406
1317.4854,678.5447
1946.2397,417.7077
1313.4869,773.48535
1984.225,530.6371
1329.4807,670.5497
1277.501,417.7077
1259.508,786.47723
1966.2319,461.6802
1328.4811,747.5016
1211.5267,728.5134
1320.4841,952.37354
1909.2542,556.62085
2042.2023,768.48846
1299.4924,698.53217
1286.4974,806.4647
1278.5006,917.3954
1277.501,727.51404
1274.5022,734.5097
1330.4802,661.5553
487.80945,361.74268
1233.5182,790.47473
1233.5182,438.69458
1535.4003,1097.283
1815.2909,401.71768
1320.4841,455.68396
485.81024,962.3673
1935.244,737.5078
1272.5029,735.5091
1283.4987,694.53467
654.74426,443.69144
514.7989,482.6671
1286.4974,349.75015
1337.4775,411.71143
1292.4951,783.47906
1264.5061,618.58215
1278.5006,807.4641
1328.4811,759.4941
1267.5049,830.4497
1278.5006,948.37604
1233.5182,423.70395
1989.223,811.4616
482.8114,813.4603
1284.4983,717.5203
1246.5131,959.36914
528.79346,983.3541
1232.5186,949.3754
649.7462,691.53656
1289.4963,803.4666
1265.5056,658.5572
516.79816,603.5915
1254.51,751.4991
2071.191,389.7252
1276.5013,540.63086
1357.4697,368.73828
1285.4978,870.42474
1338.4772,590.5996
1245.5134,690.5372
1227.5205,685.5403
1325.4822,467.67645
1940.2421,575.609
1292.4951,737.5078
1259.508,1019.33167
626.7552,385.72766
1263.5065,949.3754
619.75793,724.5159
1328.4811,898.4073
1313.4869,717.5203
2019.2113,881.41785
1277.501,672.5484
1250.5115,609.58777
1314.4866,796.47095
1235.5173,603.5915
1233.5182,910.3998
1379.4612,845.44037
1216.5248,659.5565
1274.5022,772.48596
1298.4928,617.58276
1280.4998,975.35913
1253.5104,1084.2911
1931.2456,922.3923
569.7774,572.6109
1310.488,687.53906
1990.2225,650.56213
1318.485,450.68707
1325.4822,866.42725
1356.4701,911.3991
1249.512,644.5659
1305.49,782.47974
517.7977,1005.34045
1277.501,729.5128
1320.4841,995.3467
1373.4635,1075.2968
1295.4939,421.7052
1309.4885,985.3529
1278.5006,1053.3104
1965.2323,922.3923
1238.5162,908.401
2074.1897,900.406
487.80945,457.6827
1340.4764,904.4035
1277.501,567.614
1863.2722,474.67206
1284.4983,688.53845
1260.5076,546.62714
1278.5006,793.47284
584.77155,703.52905
1951.2378,388.7258
1962.2335,937.3829
1258.5084,753.4978
1234.5178,765.49036
1258.5084,456.68332
1267.5049,502.6546
1247.5127,1005.34045
1999.2191,748.501
1331.4799,800.46844
2043.2019,772.48596
1265.5056,776.48346
1251.5111,591.599
2023.2097,705.52783
1592.3779,1110.2749
1295.4939,730.5122
1243.5143,628.5759
1398.4537,1065.303
1264.5061,1003.3417
1243.5143,665.5528
1230.5193,1013.33545
1265.5056,729.5128
1749.3167,1088.2886
1301.4916,750.4997
1284.4983,754.4972
780.69507,414.70956
1272.5029,768.48846
1308.4889,1101.2805
1992.2218,397.72018
1990.2225,733.5103
552.78406,470.67456
1323.483,844.441
488.80905,1123.2667
2021.2104,391.72394
1290.4958,1030.3248
1322.4834,1038.3198
1991.2222,479.66895
587.7704,787.47656
1286.4974,686.5397
1254.51,734.5097
1230.5193,735.5091
1297.4932,706.52716
508.80124,1081.293
1304.4905,828.451
1277.501,946.37726
1333.4791,783.47906
1300.492,720.51843
1287.4971,462.67957
1253.5104,828.451
1272.5029,860.43097
1980.2264,377.73267
588.77,635.57153
1476.4232,1078.2948
1844.2795,873.42285
1263.5065,718.5197
1291.4955,961.3679
2047.2003,392.7233
1200.531,682.5422
536.79034,766.4897
1281.4994,749.5003
543.7876,704.52844
1937.2433,1087.2892
1956.2358,877.42035
1277.501,846.43976
1340.4764,672.5484
1286.4974,772.48596
1267.5049,468.67584
1253.5104,691.53656
2050.1992,460.68082
1253.5104,1019.33167
2120.1719,336.75827
1274.5022,730.5122
1274.5022,775.4841
1998.2195,891.4116
1290.4958,884.416
1968.2312,529.63776
1296.4935,910.3998
1263.5065,676.5459
1207.5283,1070.2998
2003.2175,1007.33923
1303.4908,987.3517
1312.4873,847.4391
490.8083,1109.2755
1303.4908,787.47656
1335.4783,687.53906
1231.5189,701.5303
572.77625,734.5097
1246.5131,745.5028
942.6318,408.71332
549.7852,534.6346
2078.1882,363.74142
1180.5388,961.3679
2065.1934,846.43976
1335.4783,414.70956
1250.5115,722.5172
547.786,754.4972
1152.5498,976.3585
1295.4939,1034.3223
1282.499,983.3541
1944.2405,408.71332
1997.2198,1080.2936
1948.239,755.4966
1414.4475,399.71893
1237.5166,682.5422
1304.4905,735.5091
1311.4877,686.5397
1255.5095,735.5091
2027.2081,800.46844
1252.5107,706.52716
1311.4877,717.5203
777.6962,429.7002
1235.5173,936.38354
1286.4974,689.5378
1278.5006,1008.3385
1973.2292,585.6028
556.78253,1040.3186
1288.4967,773.48535
628.7544,1129.263
1215.5251,783.47906
1675.3456,403.71643
2079.1877,772.48596
935.6345,1059.3066
1309.4885,794.4722
1097.5713,1068.301
1968.2312,702.52966
556.78253,846.43976
1275.5017,621.58026
2042.2023,884.416
1175.5408,421.7052
1295.4939,991.3491
1232.5186,734.5097
1284.4983,723.51654
1281.4994,480.66833
1277.501,502.6546
570.77704,919.39417
615.75946,1082.2924
1971.23,898.4073
1821.2886,796.47095
1255.5095,658.5572
1949.2385,770.4872
2014.2133,391.72394
1301.4916,597.5953
2117.173,378.73206
1369.4651,803.4666
548.78564,404.71582
1999.2191,666.5522
1294.4944,990.34985
2032.2062,754.4972
1228.5201,784.47845
1259.508,860.43097
1332.4795,944.37854
1303.4908,969.3629
1262.5068,381.73016
2040.203,399.71893
1209.5276,625.57776
504.80283,898.4073
1297.4932,463.67896
1241.515,723.51654
2064.1936,778.48224
1252.5107,674.5472
1279.5002,799.4691
585.7712,566.6146
1545.3964,1105.278
513.7993,923.39166
1996.2202,703.52905
570.77704,382.72955
1293.4948,803.4666
1943.241,433.6977
1242.5146,409.71268
1283.4987,596.5959
1277.501,586.6021
1308.4889,882.41724
1277.501,800.46844
1262.5068,683.54156
1252.5107,964.366
1280.4998,711.52405
1263.5065,344.7533
1265.5056,717.5203
1276.5013,689.5378
591.76886,501.6552
1340.4764,653.5603
1265.5056,715.52155
1325.4822,907.4016
1874.2678,985.3529
1314.4866,715.52155
1911.2534,438.69458
1290.4958,833.4479
523.7954,1078.2948
1228.5201,604.5909
556.78253,785.47784
1307.4893,691.53656
1309.4885,941.3804
1344.4749,592.5984
1257.5088,594.5971
2021.2104,749.5003
2072.1907,927.38916
1128.5592,730.5122
1280.4998,731.51154
583.772,637.57025
2056.1968,800.46844
533.7915,726.5147
1248.5123,965.3654
1318.485,731.51154
1249.512,447.68896
1239.5159,904.4035
1353.4713,950.37476
1212.5264,844.441
1344.4749,460.68082
558.78174,808.4635
1252.5107,997.34546
1220.5232,638.56964
704.72473,449.6877
1318.485,771.4866
1302.4912,587.6015
712.7216,1046.3148
1306.4896,627.57654
1280.4998,703.52905
568.77783,993.3479
1298.4928,554.62213
1265.5056,676.5459
1235.5173,638.56964
1617.3682,950.37476
1308.4889,711.52405
1277.501,614.58466
1232.5186,1005.34045
1291.4955,592.5984
1280.4998,792.47345
1260.5076,819.4566
1265.5056,805.46533
1208.528,588.6009
1314.4866,774.4847
1257.5088,901.4054
1257.5088,1003.3417
1307.4893,714.52216
1791.3003,1098.2823
1309.4885,675.5466
1280.4998,807.4641
1277.501,869.42535
1279.5002,619.58154
1262.5068,894.4097
1311.4877,747.5016
830.67554,990.34985
2045.201,677.5453
2007.216,530.6371
1813.2917,412.71082
1293.4948,493.66022
1231.5189,789.47534
1293.4948,674.5472
1276.5013,436.69583
1278.5006,413.71017
562.78015,805.46533
1260.5076,746.5022
1559.3909,1000.3435
1295.4939,1011.3367
1272.5029,716.52094
1280.4998,939.38165
1290.4958,714.52216
1267.5049,684.5409
1891.2612,921.3929
1243.5143,717.5203
1260.5076,767.4891
619.75793,348.7508
1929.2463,994.3473
1891.2612,874.42224
1254.51,487.66394
2017.212,975.35913
1294.4944,762.4922
1310.488,740.5059
1991.2222,435.69644
1256.5092,1057.308
1295.4939,697.5328
2040.203,435.69644
1310.488,584.6034
1248.5123,735.5091
1250.5115,843.4416
546.78644,1107.2767
1347.4736,977.3579
1291.4955,692.53595
585.7712,897.4079
1927.2472,471.67395
1255.5095,749.5003
1959.2346,464.67834
1328.4811,948.37604
1306.4896,468.67584
1268.5045,898.4073
1291.4955,893.4104
1313.4869,998.34485
2026.2085,633.57275
1290.4958,725.5153
1973.2292,943.37915
1972.2296,640.5684
565.779,796.47095
1363.4674,497.6577
1288.4967,648.5634
1265.5056,512.6484
1245.5134,445.6902
1304.4905,805.46533
1279.5002,659.5565
1948.239,533.63525
512.7997,689.5378
1239.5159,733.5103
1311.4877,911.3991
1268.5045,705.52783
1234.5178,663.554
1323.483,766.4897
1321.4838,724.5159
1292.4951,736.5084
549.7852,827.4516
1234.5178,607.589
1327.4814,427.70145
1278.5006,671.549
1277.501,663.554
1425.4432,1039.3192
1208.528,550.62463
1248.5123,1025.3279
1303.4908,619.58154
1064.5841,342.75455
1296.4935,988.3511
1288.4967,726.5147
1243.5143,422.70456
1783.3033,1089.288
580.77313,960.3685
1316.4857,786.47723
1517.4072,351.7489
2020.2108,614.58466
1333.4791,430.69955
1974.2289,881.41785
1307.4893,464.67834
1226.5209,739.5066
1235.5173,1019.33167
1370.4647,657.5578
511.80008,927.38916
1293.4948,753.4978
1274.5022,957.3704
664.74036,1005.34045
1301.4916,408.71332
585.7712,548.62585
1374.4631,966.3648
2011.2144,723.51654
1262.5068,521.6427
1147.5518,458.68207
1267.5049,819.4566
603.76416,532.63586
1100.5701,757.4953
1180.5388,654.55963
1265.5056,634.57214
1252.5107,711.52405
539.7891,952.37354
1308.4889,999.3441
1957.2355,885.4154
1257.5088,870.42474
1277.501,678.5447
1249.512,630.57465
1308.4889,715.52155
1258.5084,725.5153
586.7708,1017.3329
